id,district_id,english,sinhala,tamil
1,1,Colombo,කොළඹ,கொழும்பு
2,1,Kolonnawa,කොළොන්නාව,கொ‎லொண்ணா‍வை
3,1,Kaduwela,කඩුවෙල,கடு‎வெ‍லை
4,1,Homagama,හෝමගම,ஹோமாகம
5,1,Hanwella,හංවැල්ල,ஹங்‎வெல்‍லை
6,1,Padukka,පාදුක්ක,பாதுக்‍கை
7,1,Maharagama,මහරගම,மஹரகம
8,1,Sri Jayawardanapura Kotte,ශ්‍රී ජයවර්ධනපුර කෝට්ටෙ,ஸ்ரீ ஜயவர்தணபுர ‍கோட்‍டை
9,1,Thimbirigasyaya,තිඹිරිගස්යාය,திம்பிரிகஸ்யா‍யை
10,1,Dehiwala-Mount Lavinia,දෙහිවල -ගල්කිස්ස,தெஹிவளை-கல்கிஸ்‍ஸ
11,1,Ratmalana,රත්මලාන,இரத்மழா‍ணை
12,1,Moratuwa,මොරටුව,மொரட்டு‍வை
13,1,Kesbewa,කැස්බෑව,‎கெஸ்‍‍பே‍வை
14,2,Negombo,මීගමුව,நீர்கொழும்பு
15,2,Katana,කටාන,கடா‍ணை
16,2,Divulapitiya,දිවුලපිටිය,திவுலப்பிட்டிய
17,2,Mirigama,මීරිගම,மீரிகமை
18,2,Minuwangoda,මිනුවන්ගොඩ,மிணுவாங்‎‎கொ‍டை
19,2,Wattala,වත්තල,வத்தளை
20,2,Ja-Ela,ජා-ඇල,ஜா-எல
21,2,Gampaha,ගම්පහ,கம்பஹ
22,2,Attanagalla,අත්තනගල්ල,அத்தணகல்‍லை
23,2,Dompe,දොම්පෙ,‎தொம்‍பே
24,2,Mahara,මහර,மஹற
25,2,Kelaniya,කැළණිය,களணி
26,2,Biyagama,බියගම,பியக‍மை
27,3,Panadura,පානදුර,பாணத்து‍றை
28,3,Bandaragama,බණ්ඩාරගම,பண்டாரக‍மை
29,3,Horana,හොරණ,‎ஹொற‍ணை
30,3,Ingiriya,ඉංගිරිය,இங்கிரிய
31,3,Bulathsinhala,බුලත්සිංහල,புழத்சிங்கள
32,3,Madurawela,මදුරාවල,மதுரா‎வெள
33,3,Millaniya,මිල්ලනිය,மில்லணிய
34,3,Kalutara,කළුතර,களுத்து‍றை
35,3,Beruwala,බේරුවල,‍‍பேறுவ‍ளை
36,3,Dodangoda,දොඩම්ගොඩ,‎தொடந்தூவை
37,3,Mathugama,මතුගම,மத்துக‍மை
38,3,Agalawatta,අගලවත්ත,அகளவத்‍தை
39,3,Palindanuwara,පාලින්ද නුවර,பாலிந்தநுவர
40,3,Walallavita,වලල්ලාවිට,வளள்ளாவிட்ட
41,4,Thumpane,තුම්පනේ,தும்பணை‍
42,4,Poojapitiya,පුජාපිටිය,பூஜாபிட்டிய
43,4,Akurana,අකුරණ,அக்குர‍ணை
44,4,Pathadumbara,පාතදුම්බර,பாத்ததும்ப‍ரை
45,4,Panvila,පන්විල,பண்வில
46,4,Udadumbara,උඩදුම්බර,உடதும்ப‍ரை
47,4,Minipe,මිනිපේ *,மினிபே
48,4,Medadumbara,මැදදුම්බර,‎மெததும்பர
49,4,Kundasale,කුණ්ඩසාලෙ,குண்டசா‍லை
50,4,Kandy Four Gravets & Gangawata Korale,මහනුවර කඩවත් සතර හා ගඟවටකොරළේ,கண்டி கடவத்ஸதர / கங்கவட கோரலே
51,4,Harispattuwa,හාරිස්පත්තුව,ஹரிஸ்பத்துவ
52,4,Hatharaliyadda,හතරලියැද්ද,ஹதரழி‎யெந்த
53,4,Yatinuwara,යටිනුවර,யட்டினுவர
54,4,Udunuwara,උඩුනුවර *,உடுனுவர
55,4,Doluwa,දොළුව,‎தொழுவ
56,4,Pathahewaheta,පහතහේවාහැට,பஹத‍‍ஹேவா‎ஹெட
57,4,Delthota,දෙල්තොට,‎தெல்‎தொட்ட
58,4,Udapalatha,උඩපලාත,உடபலாத
59,4,Ganga Ihala Korale,ගඟ ඉහළ කොරළේ,கங்க இஹல ‍ேகாற‍‍லே
60,4,Pasbage Korale,පස්බාගේ කොරළේ,பஸ்பா‍கே ‍கோற‍லே
61,5,Galewela,ගලේවෙල,கலேவெல
62,5,Dambulla,දඹුල්ල,தம்புல்ல
63,5,Naula,නාඋල,நாஉல
64,5,Pallepola,පල්ලෙපොල,பல்லெபொல
65,5,Yatawatta,යටවත්ත,யடவத்த
66,5,Matale,මාතලේ,மாத்தளை
67,5,Ambanganga Korale,අඹන්ගඟ කොරළේ,அம்பங்கககோரலே
68,5,Laggala-Pallegama,ලග්ගල - පල්ලෙගම,லக்கல - பல்லேகம
69,5,Wilgamuwa,විල්ගමුව,வில்கமுவ
70,5,Rattota,රත්තොට,ரத்தொட
71,5,Ukuwela,උකුවෙල,உகுவெல
72,6,Kothmale,තකාත්මලේ,‎‎கொத்ம‍லை
73,6,Hanguranketha,හඟුරන්කෙත,ஹங்குரங்‎கெத
74,6,Walapane,වලපනේ,வலப‍‍னே
75,6,Nuwara Eliya,නුවර එළිය,நுவ‎ரெளியா
76,6,Ambagamuwa,අඹගමුව,அம்பகமுவ
77,7,Benthota,බෙන්තොට,‎பென்‎தொட்டை
78,7,Balapitiya,බලපිටිය,பலபிட்டிய
79,7,Karandeniya,කරන්දෙණිය,கரந்‎தெனிய
80,7,Elpitiya,ඇල්පිටිය,எல்பிடி
81,7,Niyagama,නියාගම,நியாகம
