id,division_id,english,sinhala,tamil
1,1,Sammanthranapura,සම්මන්ත්‍රණපුර,ஸம்மந்திரணபுரை
2,1,Mattakkuliya,මට්ටක්කුලිය,மட்டக்குளி
3,1,Modara,මෝදර,மோத‍ரை
4,1,Madampitiya,මඩම්පිටිය,மாதம்பிட்டிய
5,1,Mahawatta,මහවත්ත,மஹவத்தை
6,1,Aluthmawatha,අළුත්මාවත,அளுத்மாவத்தை
7,1,Lunupokuna,ලුණුපොකුණ,ளுணு‎பொக்குண
8,1,Bloemendhal,බ්ලුමැන්ඩල්,புளூ‎மெண்டல்
9,1,Kotahena East,කොටහේන නැගෙනහිර,‎கொட்டாஞ்‍சேணை கிழக்கு
10,1,Kotahena West,කොටහේන බටහිර,‎கொட்டாஞ்‍சேணை ‍மேற்கு
11,1,Kochchikade North,කොච්චිකඩේ උතුර,‎கொச்சிகடை வடக்கு
12,1,Jinthupitiya,ජින්තුපිටිය,ஜிந்துப்பிட்டி
13,1,Massangasweediya,මසන්ගස් විදිය,மஸங்கஸ் வீதி
14,1,New Bazaar,නිව් බසාර්,புது பசார்
15,1,Grandpass South,ග්‍රෑන්ඩ්පාස් දකුණ,கி‍ரேண்ட்பாஸ் ‎தெற்கு
16,1,Grandpass North,ග්‍රෑන්ඩ්පාස් උතුර,கி‍ரேண்ட்பாஸ் வடக்கு
17,1,Nawagampura,නවගම්පුර,நவகம்புர
18,1,Maligawatta East,මාලිගාවත්ත නැගෙනහිර,மாலிகாவத்தை கிழக்கு
19,1,Bettarama,බෙත්තාරාම,‎கெத்தாராமை
20,1,Aluthkade East,අළුත්කඩේ නැගෙනහිර,புதுக்கடை கிழக்கு
21,1,Aluthkade West,අළුත්කඩේ බටහිර,புதுக்கடை ‍மேற்கு
22,1,Kochchikade South,කොච්චිකඩේ දකුණ,‎கொச்சிக்கடை தெற்கு
23,1,Pettah,පිටකොටුව,புறக்‍கோட்டை
24,1,Fort,කොටුව,கோட்டை
25,1,Galle Face,ගාලුමුවදොර,காலி முகத்துவாரம
26,1,Slave Island,කොම්පඤ්ඤ වීදිය,‎கொம்பணித்‎தெரு
27,1,Hunupitiya,හුණුපිටිය,ஹுணுப்பிட்டிய
